term,tone
перезагружаться_INFN,negative
маркета_NOUN,negative
функционал_NOUN,negative
просмотр_NOUN,negative
перезагрузка_NOUN,negative
важный_ADJF,positive
друг_NOUN,positive
радио_NOUN,negative
жизнь_NOUN,negative
виджет_NOUN,negative
белый_ADJF,negative
новое_NOUN,negative
выход_NOUN,negative
понимать_INFN,positive
садиться_INFN,negative
носить_INFN,negative
эксплуатация_NOUN,negative
производитель_NOUN,negative
неудобно_ADVB,negative
жалеть_INFN,positive
полезный_ADJF,positive
оказаться_INFN,negative
стильный_ADJF,positive
падение_NOUN,negative
виснуть_INFN,negative
удобство_NOUN,positive
сервис_NOUN,negative
сторона_NOUN,negative
начало_VERB,negative
съёмка_NOUN,negative
выключаться_INFN,negative
заряжаться_INFN,negative
слово_NOUN,negative
скрипеть_INFN,negative
сообщение_NOUN,negative
сканер_NOUN,negative
выше_ADVB,negative
компьютер_NOUN,negative
флагман_NOUN,negative
пользователь_NOUN,negative
комп_NOUN,negative
современный_ADJF,positive
угол_NOUN,negative
будильник_NOUN,negative
вообщий_ADJF,negative
гарантия_NOUN,negative
симка_NOUN,negative
искать_INFN,negative
посмотреть_INFN,negative
замечательный_ADJF,positive
ранний_ADJF,neutral
прекрасный_ADJF,negative
тупить_INFN,negative
разряжаться_INFN,positive
выйти_INFN,negative
отключить_INFN,negative
жить_INFN,negative
мелкий_ADJF,neutral
книга_NOUN,negative
тело_NOUN,negative
примерно_ADVB,negative
неудобный_ADJF,negative
любить_INFN,positive
тип_NOUN,negative
должный_ADJF,negative
часть_NOUN,negative
держаться_INFN,negative
сим_NOUN,negative
оперативный_ADJF,negative
фотка_NOUN,negative
цвета_NOUN,negative
настроить_INFN,negative
родной_ADJF,neutral
тянуть_INFN,neutral
включение_NOUN,negative
соотношение_NOUN,negative
вариант_NOUN,negative
полгода_NOUN,negative
её_ADJF,negative
старый_ADJF,positive
конец_NOUN,negative
перестать_INFN,negative
впечатление_NOUN,negative
заряжать_INFN,negative
датчик_NOUN,negative
слышный_ADJF,negative
невозможно_ADVB,negative
мелочь_NOUN,neutral
менее_ADVB,negative
классный_ADJF,positive
номер_NOUN,negative
оперативка_NOUN,negative
хватить_INFN,positive
намного_ADVB,negative
оставаться_INFN,negative
оболочка_NOUN,negative
комплектация_NOUN,negative
смысл_NOUN,negative
ремонт_NOUN,negative
сначала_ADVB,negative
получить_INFN,negative
лишний_ADJF,neutral
точно_ADVB,negative
конкурент_NOUN,negative
показывать_INFN,negative
прога_NOUN,negative
включаться_INFN,negative
бесплатный_ADJF,negative
максимум_NOUN,negative
ядро_NOUN,negative
особо_ADVB,negative
приобрести_INFN,negative
множество_NOUN,negative
поддерживать_INFN,negative
брак_NOUN,negative
обнаружить_INFN,negative
предыдущий_ADJF,negative
мб_NOUN,negative
мобильный_ADJF,negative
сигнал_NOUN,negative
начинка_NOUN,negative
характеристика_NOUN,negative
подключение_NOUN,negative
шикарный_ADJF,positive
ожидать_INFN,negative
наверное_ADVB,negative
необходимый_ADJF,negative
выбрать_INFN,negative
мнение_NOUN,negative
фронтальный_ADJF,negative
заменить_INFN,negative
освещение_NOUN,negative
изображение_NOUN,negative
солнце_NOUN,negative
ощущение_NOUN,negative
абсолютно_ADVB,negative
интересный_ADJF,positive
решаться_INFN,negative
раздражать_INFN,negative
разочаровать_INFN,negative
терять_INFN,negative
ожидание_NOUN,negative
давать_INFN,negative
вопрос_NOUN,negative
андройда_NOUN,negative
надеяться_INFN,positive
средний_ADJF,neutral
сайт_NOUN,negative
отличие_NOUN,positive
фишка_NOUN,positive
скачать_INFN,negative
прекрасно_ADVB,negative
счёт_NOUN,negative
дом_NOUN,negative
защитный_ADJF,negative
люба_NOUN,negative
сломаться_INFN,negative
отдельный_ADJF,negative
тяжёлый_ADJF,negative
сочный_ADJF,positive
надёжный_ADJF,negative
понятно_ADVB,negative
редко_ADVB,negative
чувствительный_ADJF,neutral
жена_NOUN,negative
ненужный_ADJF,negative
появляться_INFN,negative
сторонний_ADJF,negative
формат_NOUN,negative
ронять_INFN,negative
отметить_INFN,negative
получиться_INFN,negative
удовольствие_NOUN,positive
далёкий_ADJF,negative
подходить_INFN,positive
нажимать_INFN,negative
гораздо_ADVB,negative
рынок_NOUN,negative
большинство_NOUN,negative
приличный_ADJF,positive
смочь_INFN,negative
фотоаппарат_NOUN,negative
следующий_ADJF,negative
ухо_NOUN,negative
китайский_ADJF,negative
понятный_ADJF,positive
открывать_INFN,negative
машина_NOUN,negative
лаг_NOUN,negative
автофокус_NOUN,negative
помощь_NOUN,positive
нарекание_NOUN,negative
русский_ADJF,negative
разобраться_INFN,negative
звучание_NOUN,negative
доступ_NOUN,negative
норма_NOUN,negative
фай_NOUN,negative
внимание_NOUN,positive
страница_NOUN,negative
разница_NOUN,negative
слабоватый_ADJF,negative
ваш_ADJF,negative
внутренний_ADJF,negative
сильный_ADJF,negative
являться_INFN,negative
позволять_INFN,negative
официальный_ADJF,negative
вес_NOUN,negative
бесить_INFN,negative
почта_NOUN,negative
приём_NOUN,negative
мелодия_NOUN,negative
яндекс_NOUN,negative
прочный_ADJF,positive
вещь_NOUN,negative
выключить_INFN,negative
компания_NOUN,negative
обзор_NOUN,negative
крепкий_ADJF,positive
весьма_ADVB,negative
яблоко_NOUN,negative
поиск_NOUN,negative
клавиш_NOUN,negative
включать_INFN,negative
перейти_INFN,negative
честно_ADVB,negative
стоимость_NOUN,negative
добавить_INFN,negative
упасть_INFN,negative
звонилка_NOUN,negative
тема_NOUN,negative
маркий_ADJF,negative
периодически_ADVB,negative
чудо_NOUN,positive
исправить_INFN,positive
штука_NOUN,negative
косяк_NOUN,neutral
совершенно_ADVB,negative
ужасно_ADVB,negative
увидеть_INFN,negative
скользкий_ADJF,negative
мера_NOUN,negative
забыть_INFN,negative
ходить_INFN,negative
чётко_ADVB,negative
срабатывать_INFN,negative
ёмкость_NOUN,negative
улица_NOUN,negative
находиться_INFN,negative
сложно_ADVB,negative
помочь_INFN,positive
выходить_INFN,negative
великолепный_ADJF,negative
коробка_NOUN,negative
помогать_INFN,positive
асфальт_NOUN,negative
план_NOUN,negative
результат_NOUN,negative
продажа_NOUN,negative
постоянный_ADJF,negative
ценовый_ADJF,negative
кабель_NOUN,negative
обновить_INFN,negative
функциональный_ADJF,negative
запись_NOUN,negative
соня_NOUN,negative
давно_ADVB,negative
любитель_NOUN,negative
зависание_NOUN,negative
фонарик_NOUN,negative
разъесть_INFN,negative
аська_NOUN,negative
отнести_INFN,negative
быстродействие_NOUN,negative
описать_INFN,negative
собеседник_NOUN,negative
ряд_NOUN,negative
точка_NOUN,negative
нажать_INFN,negative
становиться_INFN,negative
бояться_INFN,negative
спокойно_ADVB,negative
чистый_ADJF,positive
класс_NOUN,negative
функциональность_NOUN,negative
среднее_ADJF,negative
видимо_ADVB,negative
пластиковый_ADJF,negative
пытаться_INFN,negative
причина_NOUN,negative
люфт_NOUN,negative
низкий_ADJF,neutral
удалить_INFN,negative
порядок_NOUN,negative
минимум_NOUN,negative
папка_NOUN,negative
подключить_INFN,negative
позвонить_INFN,negative
жрать_INFN,negative
крутой_ADJF,positive
восторг_NOUN,positive
центр_NOUN,negative
разъём_NOUN,negative
смотреться_INFN,negative
нагрузка_NOUN,neutral
напрягать_INFN,negative
задача_NOUN,negative
слот_NOUN,negative
основное_ADJF,negative
лечиться_INFN,negative
подвисать_INFN,negative
свет_NOUN,negative
решение_NOUN,negative
крайне_ADVB,negative
вывод_NOUN,negative
мороз_NOUN,negative
столько_ADVB,negative
потерять_INFN,negative
вылетать_INFN,negative
повод_NOUN,negative
разблокировка_NOUN,negative
сантиметр_NOUN,negative
идеально_ADVB,negative
адекватный_ADJF,positive
неплохо_ADVB,negative
слышать_INFN,negative
платформа_NOUN,negative
фотографировать_INFN,negative
подобный_ADJF,negative
краска_NOUN,negative
стабильно_ADVB,negative
опера_NOUN,negative
заметно_ADVB,negative
серый_ADJF,neutral
иметься_INFN,negative
привыкать_INFN,positive
маленькая_ADJF,negative
книжка_NOUN,negative
собираться_INFN,negative
отдать_INFN,negative
снова_ADVB,negative
вечер_NOUN,negative
микрофон_NOUN,negative
гаджет_NOUN,negative
выпадать_INFN,negative
проц_NOUN,negative
основный_ADJF,negative
активно_ADVB,negative
ночь_NOUN,negative
сегодня_ADVB,negative
список_NOUN,negative
основной_ADJF,negative
сменить_INFN,negative
спутник_NOUN,negative
операционный_ADJF,negative
обновляться_INFN,negative
телефонный_ADJF,negative
прослушивание_NOUN,negative
отключаться_INFN,negative
цветопередача_NOUN,negative
обратно_ADVB,negative
покрытие_NOUN,negative
синхронизация_NOUN,negative
живой_NOUN,negative
ужас_NOUN,negative
прошлый_ADJF,negative
уметь_INFN,negative
явно_ADVB,negative
дюйм_NOUN,negative
отвратительный_ADJF,negative
открываться_INFN,negative
подойти_INFN,positive
старое_NOUN,negative
вобщий_ADJF,negative
пример_NOUN,positive
россия_NOUN,negative
скайп_NOUN,negative
аксессуар_NOUN,negative
вайфай_NOUN,negative
категория_NOUN,negative
прочий_ADJF,negative
критично_ADVB,negative
желание_NOUN,negative
буква_NOUN,negative
требовать_INFN,negative
ёмкостный_ADJF,negative
претензия_NOUN,positive
пропадать_INFN,negative
опыт_NOUN,negative
целый_ADJF,negative
недавно_ADVB,negative
ребёнок_NOUN,negative
мыть_INFN,negative
подарок_NOUN,negative
оставлять_INFN,negative
происходить_INFN,negative
загрузка_NOUN,negative
сожаление_NOUN,negative
прикосновение_NOUN,negative
везде_ADVB,negative
компактный_ADJF,negative
серфинг_NOUN,negative
дополнительный_ADJF,negative
максимальный_ADJF,negative
ошибка_NOUN,negative
решать_INFN,negative
пойти_INFN,negative
похожий_ADJF,negative
серьёзный_ADJF,negative
мощность_NOUN,negative
выдавать_INFN,negative
устанавливать_INFN,negative
жаловаться_INFN,negative
вызывать_INFN,negative
надёжность_NOUN,negative
оставить_INFN,negative
удачный_ADJF,positive
открыть_INFN,negative
форум_NOUN,negative
снимок_NOUN,negative
пиксель_NOUN,negative
фотокамера_NOUN,negative
программный_ADJF,negative
ввод_NOUN,negative
стабильный_ADJF,positive
планшет_NOUN,negative
отзывчивый_ADJF,positive
справляться_INFN,negative
право_NOUN,negative
различный_ADJF,neutral
набирать_INFN,negative
музыкальный_ADJF,positive
пробовать_INFN,negative
тихий_ADJF,positive
симбиана_NOUN,negative
однозначно_ADVB,negative
снять_INFN,negative
комментарий_NOUN,negative
темнота_NOUN,negative
находить_INFN,negative
диагональ_NOUN,negative
показаться_INFN,negative
одновременно_ADVB,negative
наш_ADJF,negative
удивить_INFN,negative
крайний_ADJF,negative
гугл_NOUN,negative
приходить_INFN,negative
язык_NOUN,negative
отсутствовать_INFN,negative
баг_NOUN,negative
жутко_ADVB,negative
процент_NOUN,negative
запустить_INFN,negative
знакомый_ADJF,negative
нагреваться_INFN,negative
заметный_ADJF,negative
аккума_NOUN,negative
вкус_NOUN,negative
медленный_ADJF,negative
касаться_INFN,negative
разговорный_ADJF,negative
отключение_NOUN,negative
попробовать_INFN,negative
передача_NOUN,negative
бюджетный_ADJF,negative
озу_NOUN,negative
ночью_ADVB,negative
гнездо_NOUN,negative
проверить_INFN,negative
глянцевый_ADJF,negative
край_NOUN,negative
оригинальный_ADJF,positive
трудно_ADVB,negative
эквалайзер_NOUN,negative
метро_NOUN,negative
документ_NOUN,negative
параметр_NOUN,negative
телефончик_NOUN,negative
факт_NOUN,negative
доступный_ADJF,positive
фирма_NOUN,negative
люфтит_NOUN,negative
видный_ADJF,positive
продать_INFN,negative
маловато_ADVB,negative
лопата_NOUN,negative
проигрывать_INFN,negative
странно_ADVB,negative
обязательно_ADVB,negative
возникать_INFN,negative
оператор_NOUN,negative
утро_NOUN,negative
верхний_ADJF,negative
девушка_NOUN,negative
чтение_NOUN,negative
перезагружать_INFN,negative
далеко_ADVB,negative
учитывать_INFN,negative
расположение_NOUN,positive
уронить_INFN,negative
передний_ADJF,negative
отдельно_ADVB,negative
расположить_INFN,negative
отключать_INFN,negative
состояние_NOUN,negative
еле_ADVB,negative
оправдать_INFN,positive
жалко_ADVB,negative
условие_NOUN,negative
проверять_INFN,negative
сомневаться_INFN,negative
качать_INFN,negative
трубка_NOUN,negative
ёмкий_ADJF,negative
желать_INFN,negative
подтормаживать_INFN,negative
сметь_INFN,negative
установленный_ADJF,negative
положить_INFN,negative
подсветка_NOUN,negative
назвать_INFN,negative
вернуть_INFN,negative
аналог_NOUN,negative
насыщенный_ADJF,positive
оптимальный_ADJF,positive
течение_NOUN,negative
голосовой_ADJF,negative
смена_NOUN,negative
иначе_ADVB,negative
туда_ADVB,negative
лагаета_NOUN,negative
выключение_NOUN,negative
подумать_INFN,negative
положительный_ADJF,positive
далее_ADVB,negative
сегодняшний_ADJF,negative
доставать_INFN,positive
мина_NOUN,neutral
число_NOUN,negative
зависнуть_INFN,negative
флёша_NOUN,negative
скоро_ADVB,negative
слегка_ADVB,negative
ровно_ADVB,negative
сеять_INFN,negative
загрузить_INFN,negative
прямо_ADVB,negative
проигрыватель_NOUN,negative
кой_ADJF,negative
устарелый_ADJF,negative
фирменный_ADJF,negative
инструкция_NOUN,negative
продумать_INFN,negative
вместе_ADVB,negative
существенный_ADJF,negative
воспроизводить_INFN,negative
левый_ADJF,negative
завысить_INFN,negative
обычно_ADVB,negative
процесс_NOUN,negative
форма_NOUN,negative
штатный_ADJF,negative
юзать_INFN,negative
недорогой_ADJF,positive
техника_NOUN,negative
совет_NOUN,negative
габарит_NOUN,negative
бампер_NOUN,negative
помещение_NOUN,negative
переходить_INFN,negative
удаться_INFN,positive
частый_ADJF,negative
китай_NOUN,negative
информация_NOUN,negative
скачивать_INFN,negative
вставить_INFN,negative
попасть_INFN,negative
оправдывать_INFN,positive
хрупкий_ADJF,negative
шустро_ADVB,negative
пк_NOUN,negative
блютуз_NOUN,negative
готовый_ADJF,positive
платный_ADJF,negative
использоваться_INFN,negative
мыльница_NOUN,negative
подарить_INFN,negative
заявить_INFN,negative
медленно_ADVB,negative
галактика_NOUN,negative
изначально_ADVB,negative
настраивать_INFN,negative
приемлемый_ADJF,positive
шум_NOUN,negative
трещина_NOUN,negative
порой_ADVB,negative
сверху_ADVB,negative
пройти_INFN,negative
китаец_NOUN,negative
рута_NOUN,negative
земля_NOUN,negative
галерея_NOUN,negative
модуль_NOUN,negative
тачскрин_NOUN,negative
пропустить_INFN,negative
метр_NOUN,negative
хорошеть_INFN,positive
зависеть_INFN,negative
уступать_INFN,negative
потратить_INFN,negative
особый_ADJF,negative
почитать_INFN,positive
владелец_NOUN,negative
наверно_ADVB,negative
самсунговский_ADJF,negative
особенность_NOUN,neutral
переход_NOUN,negative
вещий_ADJF,negative
прийти_INFN,negative
качественно_ADVB,negative
ситуация_NOUN,negative
минь_NOUN,negative
прикольный_ADJF,positive
технология_NOUN,negative
частота_NOUN,negative
нажиматься_INFN,negative
буквально_ADVB,negative
вода_NOUN,negative
тёмный_ADJF,negative
второе_ADJF,negative
выявить_INFN,negative
необходимость_NOUN,negative
днём_ADVB,negative
стоять_INFN,negative
погода_NOUN,negative
др_NOUN,negative
запуск_NOUN,negative
отношение_NOUN,negative
притормаживать_INFN,negative
город_NOUN,negative
многозадачность_NOUN,negative
заводский_ADJF,negative
естественно_ADVB,negative
показать_INFN,negative
глючный_ADJF,negative
собственно_ADVB,negative
зарядный_ADJF,negative
обновлять_INFN,negative
ощупь_NOUN,negative
мегапиксель_NOUN,negative
переставать_INFN,negative
мешать_INFN,neutral
индикатор_NOUN,negative
умереть_INFN,negative
выполнять_INFN,negative
съёмный_ADJF,negative
читалка_NOUN,negative
бесполезный_ADJF,negative
выпускать_INFN,negative
сырой_ADJF,negative
подключаться_INFN,negative
действие_NOUN,negative
спасать_INFN,negative
бесплатно_ADVB,negative
случайно_ADVB,negative
затем_ADVB,negative
сравнить_INFN,negative
грузить_INFN,negative
присутствовать_INFN,negative
рамка_NOUN,negative
металлический_ADJF,negative
кастомный_ADJF,negative
воспроизведение_NOUN,negative
небо_NOUN,negative
рад_ADJS,negative
обращение_NOUN,negative
сдать_INFN,negative
поиграть_INFN,negative
получать_INFN,negative
абонент_NOUN,negative
треснуть_INFN,negative
андройд_NOUN,negative
прочитать_INFN,negative
повезти_INFN,positive
авто_NOUN,negative
предустановленный_ADJF,negative
относиться_INFN,negative
значительно_ADVB,negative
бренд_NOUN,negative
домой_ADVB,negative
нагрев_NOUN,negative
открытый_ADJF,positive
положение_NOUN,negative
разговаривать_INFN,negative
пункт_NOUN,negative
выключиться_INFN,negative
беда_NOUN,negative
автономность_NOUN,negative
попытка_NOUN,negative
нигде_ADVB,negative
ноготь_NOUN,negative
замечать_INFN,negative
прокрутка_NOUN,negative
эргономика_NOUN,negative
порт_NOUN,negative
сертификат_NOUN,negative
страшно_ADVB,negative
достать_INFN,positive
попасться_INFN,negative
широкий_ADJF,negative
касание_NOUN,negative
го_NOUN,negative
масса_NOUN,negative
симпатичный_ADJF,positive
полноценный_ADJF,positive
отличаться_INFN,negative
короткий_ADJF,negative
стерео_NOUN,negative
инет_VERB,negative
специально_ADVB,negative
потрясать_INFN,negative
разбираться_INFN,negative
заходить_INFN,negative
настолько_ADVB,negative
мир_NOUN,negative
начаться_INFN,negative
угодный_ADJF,positive
загружать_INFN,negative
эффект_NOUN,negative
удалять_INFN,negative
убивать_INFN,negative
ядерный_ADJF,negative
топовый_ADJF,negative
маловатый_ADJF,negative
жест_NOUN,negative
альтернатива_NOUN,negative
реклама_NOUN,negative
песня_NOUN,negative
объесть_INFN,negative
срок_NOUN,negative
операционка_NOUN,negative
продолжать_INFN,negative
пароль_NOUN,negative
сервисный_ADJF,negative
вытащить_INFN,negative
свободный_ADJF,positive
перечислять_INFN,negative
вернуться_INFN,negative
решиться_INFN,negative
голос_NOUN,negative
реальный_ADJF,positive
звучать_INFN,negative
входящий_ADJF,negative
очередь_NOUN,neutral
поверхность_NOUN,negative
зарядить_INFN,negative
стоялый_ADJF,negative
перечислить_INFN,negative
карточка_NOUN,negative
вести_INFN,negative
обновиться_INFN,negative
бок_NOUN,negative
микро_ADVB,negative
собранный_ADJF,negative
принимать_INFN,negative
поцарапаться_INFN,negative
вход_NOUN,negative
твёрдый_ADJF,negative
аккамулятор_NOUN,negative
обидный_ADJF,negative
узнать_INFN,negative
перепрошивка_NOUN,negative
отказаться_INFN,negative
изготовление_NOUN,negative
уходить_INFN,negative
надоесть_INFN,negative
актуальный_ADJF,positive
плавно_ADVB,negative
телевизор_NOUN,negative
задержка_NOUN,neutral
зайти_INFN,negative
судить_INFN,negative
поворот_NOUN,negative
пятно_NOUN,negative
клава_NOUN,negative
движение_NOUN,negative
дорога_NOUN,negative
непонятно_ADVB,negative
ребята_NOUN,negative
кривая_NOUN,negative
разочароваться_INFN,negative
красиво_ADVB,negative
царапинка_NOUN,negative
преимущество_NOUN,positive
интуитивно_ADVB,negative
подзарядка_NOUN,negative
фоновый_ADJF,negative
убрать_INFN,negative
убогий_ADJF,negative
чаща_NOUN,negative
платить_INFN,negative
подводить_INFN,neutral
радость_NOUN,positive
поздний_ADJF,negative
тест_NOUN,negative
уведомление_NOUN,negative
чисто_ADVB,negative
разбить_INFN,negative
галаксить_INFN,negative
фигня_NOUN,negative
дорого_ADVB,negative
известный_ADJF,negative
название_NOUN,negative
круто_ADVB,negative
иконка_NOUN,negative
щель_NOUN,negative
уха_NOUN,negative
продавец_NOUN,negative
продукт_NOUN,negative
личный_ADJF,negative
оценка_NOUN,negative
разблокировать_INFN,negative
любимый_ADJF,positive
родные_NOUN,negative
след_NOUN,negative
задумываться_INFN,negative
сброс_NOUN,negative
управлять_INFN,negative
плавность_NOUN,negative
трафик_NOUN,negative
акб_NOUN,negative
поначалу_ADVB,negative
радоваться_INFN,positive
уверенный_ADJF,positive
гиго_NOUN,negative
прежде_ADVB,negative
открытие_NOUN,negative
труд_NOUN,negative
приобретение_NOUN,negative
правильный_ADJF,positive
сплошной_ADJF,negative
